Restaurant ,Restaurant ,Menu Item ,Menu Item Name,Effective Date,Status,Price Set,Type,Price,Tax Code,Tax Rule,Tax Entry,Pricing Mode,Tax Basis
1,Test,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Inactive,1 PCS Test Store,Eatin,         2.00,DEFAULT,DEFAULT,DEFAULT,,
1,Test,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Inactive,1 PCS Test Store,Takeout,         2.00,DEFAULT,DEFAULT,DEFAULT,,
1,Test,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Inactive,1 PCS Test Store,Other,         2.40,DEFAULT,DEFAULT,DEFAULT,,
1,Test,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Inactive,1 PCS Test Store,Eatin,         5.70,DEFAULT,DEFAULT,DEFAULT,,
1,Test,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Inactive,1 PCS Test Store,Takeout,         5.70,DEFAULT,DEFAULT,DEFAULT,,
1,Test,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Inactive,1 PCS Test Store,Other,         7.42,DEFAULT,DEFAULT,DEFAULT,,
6,THEODORE DAWES,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Active,00006 Price List 062724,Eatin,         3.39,DEFAULT,DEFAULT,DEFAULT,,
6,THEODORE DAWES,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Active,00006 Price List 062724,Takeout,         3.39,DEFAULT,DEFAULT,DEFAULT,,
6,THEODORE DAWES,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Active,00006 Price List 062724,Other,         4.69,DEFAULT,DEFAULT,DEFAULT,,
6,THEODORE DAWES,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Active,00006 Price List 062724,Eatin,         8.00,DEFAULT,DEFAULT,DEFAULT,,
6,THEODORE DAWES,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Active,00006 Price List 062724,Takeout,         8.00,DEFAULT,DEFAULT,DEFAULT,,
6,THEODORE DAWES,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Active,00006 Price List 062724,Other,         8.90,DEFAULT,DEFAULT,DEFAULT,,
7,ST MARTIN,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Active,00007 Price List 013015,Eatin,         3.49,DEFAULT,DEFAULT,DEFAULT,,
7,ST MARTIN,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Active,00007 Price List 013015,Takeout,         3.49,DEFAULT,DEFAULT,DEFAULT,,
7,ST MARTIN,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Active,00007 Price List 013015,Other,         4.36,DEFAULT,DEFAULT,DEFAULT,,
7,ST MARTIN,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Active,00007 Price List 013015,Eatin,         7.40,DEFAULT,DEFAULT,DEFAULT,,
7,ST MARTIN,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Active,00007 Price List 013015,Takeout,         7.40,DEFAULT,DEFAULT,DEFAULT,,
7,ST MARTIN,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Active,00007 Price List 013015,Other,         9.30,DEFAULT,DEFAULT,DEFAULT,,
15,DENVER CITY,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Active,00015 Price List 051111,Eatin,         3.19,DEFAULT,DEFAULT,DEFAULT,,
15,DENVER CITY,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Active,00015 Price List 051111,Takeout,         3.19,DEFAULT,DEFAULT,DEFAULT,,
15,DENVER CITY,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Active,00015 Price List 051111,Other,         4.39,DEFAULT,DEFAULT,DEFAULT,,
15,DENVER CITY,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Active,00015 Price List 051111,Eatin,         7.50,DEFAULT,DEFAULT,DEFAULT,,
15,DENVER CITY,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Active,00015 Price List 051111,Takeout,         7.50,DEFAULT,DEFAULT,DEFAULT,,
15,DENVER CITY,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Active,00015 Price List 051111,Other,         8.30,DEFAULT,DEFAULT,DEFAULT,,
22,PUYALLUP/WM2403,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Inactive,00022 Price List 101310,Eatin,         4.59,DEFAULT,DEFAULT,DEFAULT,,
22,PUYALLUP/WM2403,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Inactive,00022 Price List 101310,Takeout,         4.59,DEFAULT,DEFAULT,DEFAULT,,
22,PUYALLUP/WM2403,485,6 Piece Spicy McNuggets,"Sep 1, 2026",Inactive,00022 Price List 101310,Other,         5.79,DEFAULT,DEFAULT,DEFAULT,,
22,PUYALLUP/WM2403,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Inactive,00022 Price List 101310,Eatin,         8.90,DEFAULT,DEFAULT,DEFAULT,,
22,PUYALLUP/WM2403,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Inactive,00022 Price List 101310,Takeout,         8.90,DEFAULT,DEFAULT,DEFAULT,,
22,PUYALLUP/WM2403,1000,10 Piece Spicy McNuggets Large,"Sep 1, 2026",Inactive,00022 Price List 101310,Other,        10.20,DEFAULT,DEFAULT,DEFAULT,,
